# format: as|source|type
# date: 20200101
# name: as2type
# exe: type-convert-amogh.pl
# files: 20200101.merged.class.txt
# types: Content|Enterprise|Transit/Access
1724|CAIDA_class|Transit/Access
1725|CAIDA_class|Transit/Access
1729|CAIDA_class|Transit/Access
1730|CAIDA_class|Transit/Access
1733|CAIDA_class|Transit/Access
1734|CAIDA_class|Transit/Access
1736|CAIDA_class|Transit/Access
1738|CAIDA_class|Enterprise
1739|CAIDA_class|Transit/Access
1741|CAIDA_class|Transit/Access
1742|CAIDA_class|Transit/Access
1746|CAIDA_class|Enterprise
1747|CAIDA_class|Transit/Access
1749|CAIDA_class|Transit/Access
1751|CAIDA_class|Enterprise
1754|CAIDA_class|Transit/Access
1756|CAIDA_class|Transit/Access
1757|CAIDA_class|Transit/Access
1759|peerDB_class|Transit/Access
1761|CAIDA_class|Transit/Access
1764|peerDB_class|Transit/Access
1766|CAIDA_class|Content
1767|CAIDA_class|Transit/Access
1770|CAIDA_class|Transit/Access
1772|CAIDA_class|Transit/Access
1776|CAIDA_class|Transit/Access
1777|CAIDA_class|Transit/Access
1778|CAIDA_class|Transit/Access
1781|CAIDA_class|Transit/Access
1782|CAIDA_class|Enterprise
1785|peerDB_class|Transit/Access
1786|CAIDA_class|Enterprise
1789|CAIDA_class|Transit/Access
1790|CAIDA_class|Transit/Access
1796|CAIDA_class|Enterprise
1797|CAIDA_class|Transit/Access
1798|CAIDA_class|Content
1803|CAIDA_class|Transit/Access
1811|CAIDA_class|Enterprise
1813|CAIDA_class|Transit/Access
1814|CAIDA_class|Transit/Access
1815|CAIDA_class|Transit/Access
1818|CAIDA_class|Transit/Access
1819|CAIDA_class|Transit/Access
1820|peerDB_class|Transit/Access
1821|CAIDA_class|Transit/Access
1823|CAIDA_class|Transit/Access
1824|CAIDA_class|Content
1825|CAIDA_class|Enterprise
1826|CAIDA_class|Transit/Access
1827|CAIDA_class|Enterprise
1828|peerDB_class|Enterprise
1830|CAIDA_class|Transit/Access
1831|CAIDA_class|Enterprise
1832|manual_class|Enterprise
1835|CAIDA_class|Transit/Access
1836|peerDB_class|Transit/Access
1837|CAIDA_class|Transit/Access
1840|CAIDA_class|Transit/Access
1842|CAIDA_class|Transit/Access
1843|CAIDA_class|Transit/Access
1848|CAIDA_class|Transit/Access
1850|peerDB_class|Enterprise
1851|CAIDA_class|Transit/Access
1852|CAIDA_class|Enterprise
1853|CAIDA_class|Transit/Access
1873|CAIDA_class|Transit/Access
1874|CAIDA_class|Transit/Access
1878|CAIDA_class|Transit/Access
1880|CAIDA_class|Transit/Access
1881|CAIDA_class|Transit/Access
1886|CAIDA_class|Transit/Access
1887|CAIDA_class|Transit/Access
1888|CAIDA_class|Transit/Access
1889|manual_class|Enterprise
1898|CAIDA_class|Transit/Access
1901|CAIDA_class|Transit/Access
1902|CAIDA_class|Transit/Access
1904|CAIDA_class|Transit/Access
1906|CAIDA_class|Enterprise
1907|CAIDA_class|Transit/Access
1908|CAIDA_class|Enterprise
1909|CAIDA_class|Transit/Access
1913|CAIDA_class|Content
1916|CAIDA_class|Transit/Access
1918|CAIDA_class|Transit/Access
1921|peerDB_class|Content
1929|CAIDA_class|Transit/Access
1930|CAIDA_class|Transit/Access
1931|CAIDA_class|Transit/Access
1932|CAIDA_class|Enterprise
1935|CAIDA_class|Enterprise
1936|CAIDA_class|Transit/Access
1938|CAIDA_class|Enterprise
1942|CAIDA_class|Transit/Access
1945|CAIDA_class|Transit/Access
1955|CAIDA_class|Transit/Access
1956|CAIDA_class|Enterprise
1959|CAIDA_class|Transit/Access
1965|CAIDA_class|Enterprise
1967|CAIDA_class|Transit/Access
1968|CAIDA_class|Transit/Access
1970|CAIDA_class|Transit/Access
1974|CAIDA_class|Transit/Access
1975|CAIDA_class|Transit/Access
1982|peerDB_class|Transit/Access
1996|CAIDA_class|Transit/Access
1998|CAIDA_class|Transit/Access
1999|CAIDA_class|Enterprise
2002|CAIDA_class|Transit/Access
2003|CAIDA_class|Transit/Access
2011|CAIDA_class|Transit/Access
2012|CAIDA_class|Transit/Access
2013|CAIDA_class|Transit/Access
2015|CAIDA_class|Transit/Access
2018|CAIDA_class|Transit/Access
2020|CAIDA_class|Enterprise
2021|CAIDA_class|Transit/Access
2024|CAIDA_class|Enterprise
2025|CAIDA_class|Transit/Access
2030|CAIDA_class|Transit/Access
2031|CAIDA_class|Enterprise
2033|CAIDA_class|Transit/Access
2036|CAIDA_class|Transit/Access
2037|CAIDA_class|Transit/Access
2041|CAIDA_class|Transit/Access
2042|CAIDA_class|Transit/Access
2044|peerDB_class|Transit/Access
2046|CAIDA_class|Transit/Access
2047|peerDB_class|Enterprise
2048|CAIDA_class|Transit/Access
2055|CAIDA_class|Transit/Access
2060|CAIDA_class|Transit/Access
2065|CAIDA_class|Transit/Access
2072|CAIDA_class|Transit/Access
2088|CAIDA_class|Enterprise
2089|CAIDA_class|Transit/Access
2094|CAIDA_class|Transit/Access
2103|CAIDA_class|Enterprise
2107|CAIDA_class|Transit/Access
2108|CAIDA_class|Content
2110|peerDB_class|Transit/Access
2111|CAIDA_class|Transit/Access
2114|CAIDA_class|Transit/Access
2115|CAIDA_class|Transit/Access
2116|peerDB_class|Transit/Access
